T_MeV,s_over_T3,P_over_T4,e_over_T4,I_over_T4,cV_over_T3,cs2
50,0.000933929572617,5.80890089782e-05,0.000875840563639,0.000701573536704,0.0133936177065,0.0697294482401
55,0.00261920009721,0.000174420541124,0.00244477955609,0.00192151793272,0.0348915292531,0.0750669332437
60,0.00620171432359,0.000437933195902,0.00576378112769,0.00444998153999,0.0775805905457,0.0799389935031
65,0.0129273986185,0.000960049338037,0.0119673492805,0.00908720126635,0.153304246694,0.0843251175183
70,0.0244355098428,0.00189485481466,0.0225406550281,0.0168560905842,0.277016624534,0.0882095429611
75,0.0427955478922,0.00344327795296,0.0393522699393,0.0290224360804,0.46731034501,0.0915784303713
80,0.0705716249379,0.00585794629151,0.0647136786464,0.0471398397719,0.747435371922,0.0944183639001
85,0.110932556169,0.0094503377662,0.101482218403,0.0731312051046,1.14697716336,0.0967173189785
90,0.167824564274,0.0146018358489,0.153222728425,0.109417220878,1.70432954089,0.0984695507808
95,0.246218501894,0.0217801629717,0.224438338922,0.159097850007,2.46992863939,0.0996864840414
100,0.352424792194,0.0315621078442,0.320862684349,0.226176360817,3.50963922193,0.100416245064
105,0.494415289405,0.0446616790603,0.449753610345,0.315768573164,4.90620644207,0.100773437735
110,0.681970302799,0.0619583104246,0.620011992375,0.434137061101,6.75391324853,0.100974098675
115,0.926282941619,0.084510986409,0.84177195521,0.588238995983,9.13922574921,0.10135245228
120,1.2385840912,0.113533477108,1.12505061409,0.784450182769,12.1061737406,0.102310120252
125,1.62788115134,0.150307189668,1.47757396167,1.02665239266,15.6291043598,0.104157033817
130,2.09918928803,0.196043506119,1.90314578191,1.31501526355,19.6361233615,0.106904466293
135,2.65422987131,0.25176714782,2.40246272349,1.64716128003,24.0897095741,0.110181065618
140,3.29489950629,0.31830919303,2.97659031326,2.02166273417,29.066566078,0.113357026676
145,4.02768659286,0.396437644059,3.6312489488,2.44193601662,34.7860544898,0.115784519168
150,4.86638925326,0.48707230985,4.37931694341,2.91810001386,41.5232643063,0.117196692855
155,5.82376541444,0.591400782881,5.23236463156,3.45816228292,48.832670338,0.119259613987
160,6.84543289462,0.710029525121,6.1354033695,4.00531479413,52.1543325212,0.131253389003
165,7.71271990337,0.839386681952,6.87333322141,4.35517317556,47.2380937229,0.163273309643
170,8.33117901749,0.971240065559,7.35993895193,4.44621875525,42.9923677869,0.193782744388
175,8.80734792421,1.09975699834,7.70759092587,4.40831993085,41.6454016807,0.211484283228
180,9.2166199018,1.22283282107,7.99378708072,4.3252886175,41.6328199462,0.221378708281
185,9.59053684212,1.34005421643,8.25048262569,4.23031997639,42.1461801876,0.227554117584
190,9.94239841497,1.45160848977,8.49078992519,4.13596445587,42.8691990349,0.231924053605
195,10.2783363673,1.55787597342,8.72046039385,4.04683247358,43.6720534517,0.235352715408
200,10.6014335001,1.65927845718,8.94215504291,3.96431967136,44.4965370024,0.238253001566
205,10.9133532058,1.75622191948,9.15713128637,3.88846552793,45.3141941609,0.240837411057
210,11.2150419998,1.84907606904,9.36596593075,3.81873772362,46.1099632334,0.243223833058
215,11.5070581385,1.93816893847,9.56888920004,3.75438238464,46.8752898094,0.245482389235
220,11.7897376203,2.02378771774,9.76594990254,3.69458674932,47.6050481485,0.247657298518
225,12.0632848747,2.1061820747,9.95710280001,3.63855657589,48.296110631,0.24977756422
230,12.3278267075,2.1855683191,10.1422583884,3.58555343113,48.9466723298,0.251862406998
235,12.5834473878,2.26213368889,10.3213136989,3.53491263218,49.5559308875,0.253924145151
240,12.8302133735,2.33604045098,10.4941729226,3.48605156962,50.1239284031,0.255969828828
245,13.0681916725,2.40742969298,10.6607619795,3.43847290056,50.6514560276,0.258002290504
250,13.2974636216,2.47642476257,10.821038859,3.3917645713,51.1399696538,0.260020952527
255,13.5181348241,2.54313434227,10.9750004818,3.34559745496,51.5914925463,0.262022557535
260,13.7303415637,2.6076551596,11.1226864041,3.29972092529,52.0084981482,0.264001885318
265,13.9342539422,2.67007433671,11.2641796055,3.2539565954,52.393777296,0.26595245965
270,14.1300760806,2.73047138869,11.3996046919,3.20819052583,52.7502999929,0.267867217485
275,14.3180438642,2.78891988457,11.5291239797,3.16236432596,53.0810835655,0.269739102944
280,14.4984208274,2.84548879213,11.6529320353,3.11646565891,53.3890775156,0.271561553451
285,14.6714928181,2.90024353431,11.7712492838,3.07051868086,53.6770719701,0.273328858665
290,14.8375620592,2.95324679034,11.8843152688,3.02457489778,53.94763264,0.27503638868
295,14.9969411377,3.00455907858,11.9923820592,2.97870482343,54.2030616227,0.276680701952
300,15.1499473315,3.05423915855,12.095708173,2.93299069735,54.4453808214,0.278259553023
305,15.2968975526,3.1023442893,12.1945532633,2.88752039541,54.676333346,0.279771824782
310,15.4381040649,3.14893037748,12.2891736875,2.84238255502,54.8973978818,0.281217410308
315,15.5738710323,3.19405204491,12.3798189874,2.79766285268,55.109811357,0.282597066635
320,15.7044918782,3.23776264055,12.4667292376,2.75344131597,55.3145960064,0.283912258463
325,15.8302473888,3.28011421683,12.550133172,2.70979052147,55.5125878449,0.285165004972
330,15.9514044651,3.32115748611,12.630246979,2.66677452065,55.7044644597,0.286357738465
335,16.068215416,3.3609417687,12.7072736473,2.62444834116,55.8907707965,0.287493179768
340,16.1809176878,3.39951494072,12.781402747,2.58285792488,56.0719422185,0.288574232451
345,16.2897339327,3.43692338735,12.8528105454,2.54204038331,56.2483245536,0.289603895974
350,16.3948723304,3.47321196477,12.9216603656,2.5020244713,56.4201911418,0.290585196515
355,16.4965270903,3.50842397257,12.9881031177,2.46283120001,56.587757074,0.291521133604
360,16.5948790767,3.5426011373,13.0522779394,2.42447452754,56.7511909107,0.2924146403
365,16.6900965092,3.57578360693,13.1143129023,2.38696208153,56.9106242111,0.293268554696
370,16.7823357024,3.60800995553,13.1743257468,2.35029588025,57.0661591992,0.294085600606
375,16.871741818,3.63931719719,13.2324246208,2.31447302925,57.2178748801,0.294868375544
380,16.9584496105,3.66974080801,13.2887088025,2.27948637845,57.3658318827,0.295619344372
385,17.0425841502,3.69931475488,13.3432693953,2.24532513067,57.5100762692,0.29634083722
390,17.1242615169,3.72807152998,13.396189987,2.21197539701,57.6506425186,0.297035050588
395,17.2035894569,3.75604218978,13.4475472671,2.17942069776,57.7875558528,0.29770405069
400,17.2806679999,3.78325639752,13.4974116024,2.14764240984,57.920834046,0.298349778357
